reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
40c07ef5-5300-4aac-b804-a83da2f63055,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"aplikasi nambah dosa!. sya udah pake lebih 1 tahun, baru kali ini apk bikin kesel. tadi saya top up game harganya 81.355k udah Ama biaya adminya, terus saldo saya 81.402k, pas bayar kaga bisa Mulu, katanya harus coba lagi nanti, gitu aja terus, terus nyari solusi ke cs nya, eh jawabannya kaga puas, mana kaga bisa ngomong Ama cs nya. saya coba dari magrib sampe jam 10 malem, udah Nunda Nunda waktu sholat isya, tetep aja ga bisa, apk gaguna bikin kesel aja.",2,14,1.45.0,2025-04-14 16:23:21,"Hai Kak Ahmad, mohon maat atas ketidaknyamanannya. Jika kamu masih mengalami kendala, silakan laporkan melalui email ke customerservice@gopay.co.id dengan melampirkan kode psr-25-104-1639-54378 pada subject email dan cantumkan nomor laporan kamu sebelumnya pada email yang kamu kirimkan. Kami tunggu detail laporan kamu ya. ^Melisa",2025-04-14 16:40:05,1.45.0
2f4199af-8c2e-467a-9d40-65dcf7b229a2,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"salah satu aplikasi yang sangat membantu dan menguntungkan di setiap transaksi,,bayar"" jadi mudah transfer gratis ke semua bank transaksi pakai Qris dapat cashback,,, untuk saya aplikasi sperti gopay sangat lah di perlukan dan memudah kan untuk setiap transaksi,,,",4,0,1.45.0,2025-04-15 11:46:37,,,1.45.0
1355d6a6-ab61-4f14-8033-11c50ec26213,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gopay sekarang lebih sering ke erorr dan gangguan klo begini terus jadi merasa kurang nyaman nanti nya.. ya meskipun kemarin sempat terkendala di transaksi dalam proses tapi Alhamdulillah dana nya bisa kembali setelah berjalan hampir satu Minggu. mohon untuk di perbaiki lagi masalah yang seperti ini karena bisa membuat kami sebagai konsumen merasa kurang nyaman. terima kasih,5,66,1.45.0,2025-04-14 16:27:07,,,1.45.0
9cff81b7-7ce6-4da9-9146-4cbaf741049d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"KECEWA PARAHHH Sengaja saya kasih finger print, upgrade ke gopay plus biar apa? biar AMAN. tapi ini malah GA AMAN BANGETT. Hari ini saya baru buka apk nya tapi tiba tiba malah logout dri akun saya, waktu saya login trus kaget liat saldo sayang cuman sisa 10 perak?!!!!! pas liat riwayat transaksi ko bisa sih tiba tiba bayar ini itu transaksi sana sini di luar pulau tempat tinggal saya lagii. ngga kecil juga saldo yang ilangnya. DUHH GIMNA SIH INI PROTEKSI KEAMANAN NYA?!",1,103,1.45.0,2025-04-13 06:28:48,"Hai Kak Meysha, mohon maaf atas ketidaknyamanannya. Terkait keluhan tersebut, silakan laporkan melalui email ke customerservice@gopay.co.id dengan melampirkan kode psr-25-103-0859-12577 pada subject email dan cantumkan nomor laporan kamu sebelumnya pada email yang kamu kirimkan. Kami tunggu detail laporan kamu ya. ^Maura",2025-04-13 08:59:18,1.45.0
7bb49aa1-d6b1-473d-9d38-19810d38a691,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasinya membingunkan. Semua fiturnya harus scrol kebawah. Padahal dipisah saja menunya per kategori. Seperti transfer | kirim uang | riwayat | dll. Sebagai contoh bisa melihat app d*na atau sh**pepay. Itu detail dan tertata rapi. menunya dipisah per kategori. Tidak membingungkan. Mungkin jika ada perubahan, penilaian akan saya ubah. Thx",2,315,1.40.1,2025-02-05 01:21:13,"Hai Kak Puji, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau keluhan terkait layanan GoPay, silakan kunjungi menu Bantuan di aplikasi GoPay kamu atau email ke customerservice@gopay.co.id. ^Miko",2025-02-05 03:01:18,1.40.1
e020c77d-cf9b-48b7-b4a7-4d309d496f04,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Mohon di perbaiki lagi perihal top up uang elektronik di jam 2 malam - jam 4 malam, suka kadang ga bisa/transaksi di batalkan, saran saya kalo emang gabisa top up di jam segitu mending di kasih informasi ""sistem sedang di perbaiki"" kayak top up e wallet, males soalnya nunggu 10 menit eh malah transaksi di batalkan. Segini dulu bintang kalo emang sudah di perbaiki nanti saya up lagi bintangnya",3,184,1.40.1,2025-02-06 19:27:43,"Hai Kak @Paceapse, mohon maaf atas ketidaknyamanannya. Kritik dan saran yang kamu berikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi GoPay kamu. ^Maura",2025-02-07 00:23:13,1.40.1
5e295fec-8e3b-4084-bceb-9289f0c6e2b9,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"kecewa, udah top up gak masuk masuk, nunggu 2 hari,kalo ada info keterlambatan karena ada idul Fitri itu TARO DI HALAMAN DEPAN biar costumer tau, bukannya di halaman bantuan, walaupun nominal dikit tapi kalo perlu itu berharga, mau cancel aja sulit, mempersulit bener 👎👎",1,752,1.44.0,2025-03-31 08:40:12,"Hai Kak Charis, pastikan nomor tujuan sudah benar, sudah cek halaman Riwayat, dan coba keluar dan masuk kembali ke aplikasi. Jika saldo masih belum masuk, silakan laporkan melalui menu Bantuan > ketik 'Top up GoPay saya belum masuk' > isi formulir dan cantumkan kode psr-25-090-0925-07442 pada bagian 'Ceritakan lebih lanjut'. ^Melisa",2025-03-31 09:25:18,1.44.0
cd06273f-2821-4e83-a670-af227d527ef5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Nyesel gua tagihan udah di bayar sebelum jatuh tempo eh status belum berubah². Kecewa udah beberapa hari gua lapor sana sini masih belum jelas juga, yang nelponin tiap hari terus terusan bikin aktivitas terganggu. Penanganan untuk masalah pembayaran dirasa sangat lambat dan kurangnya komunikasi antar tim teknis sama tim penagih. Intinya belum TERINTEGRASI dengan baik.",1,327,1.40.1,2025-01-31 01:21:48,"Hai Kak Cecep, mohon maaf atas ketidaknyamanannya. Jika masih mengalami keluhan, silakan laporkan melalui email ke support@mab.co.id dengan melampirkan kode psr-25-031-0329-24495 pada subject email dan cantumkan nomor laporan sebelumnya serta ceritakan kembali detail permasalahannya. Kami tunggu detail laporan kamu ya. ^Miko",2025-01-31 03:30:11,1.40.1
0cae73fc-8b80-485c-8185-71930ca9902e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"saya suka gopay karena murah dan saldo tetap aman, tetapi bikin kesel, karena proses transaksinya lama bgt terkadang di batalin apalagi kalau tiba-tiba perlu bgt. trus pelayanan tidak memuaskan karena setiap masalah yang saya keluhkan melalui chat dengan CS di aplikasi gopay tidak ditangani dengan cepat,malah di berikan pertanyaan diluar yang di tanyakan,lalu dibatasi chatnya dan akhirnya chatnya ditutup dan masalah tidak selesai plus saya tidak bisa diizinkan membahasnya lagi kecewa bgt+emosi😭",2,69,1.44.0,2025-04-07 12:28:24,"Mohon maaf, Kak Cipta. Agar bisa menggunakan GoPay, pastikan saldo cukup, masukkan PIN GoPay yang benar, dan gunakan aplikasi terbaru. Jika masih bermasalah, laporkan melalui menu Bantuan > ketik ""Saya tidak dapat menggunakan GoPay"" > isi formulir dan cantumkan kode psr-25-097-1546-50473 di bagian ceritakan lebih lanjut. ^Melisa",2025-04-07 15:47:08,1.44.0
b46793aa-1798-4682-89ef-ff2247d4f8cc,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gopay mengecewakan..saya driver Gojek yang tiap hari dari pagi atau siang sampai malam mengumpulkan hasil pendapatan dari orderan ke gopay tapi saat ingin withdraw di jam 11 malam sudah tidak bisa dengan alasan ada perbaikan sistem pada banknya padahal sistem bank tidak apa=apa kecuali jika sudah jam 12 malam keatas tidak bisa withdraw itu saya maklumi karena sudah berubah tanggal dan harinya dan mungkin sedang merestart sistemnya,1,8,1.41.0,2025-04-11 18:42:26,"Hai Kak Saiful, sebelum transfer, pastikan status upgrade GoPay Plus sudah 'Diterima', nomor penerima valid dan tidak terblokir. Jika masih bermasalah, silakan kunjungi menu Bantuan di aplikasi GoPay atau email ke customerservice@gopay.co.id dan cantumkan kode psr-25-101-1638-43810 pada subjek email. ^Maura",2025-04-11 16:38:49,1.41.0
