reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sentiment,clean_text
cf2b1362-2be7-401f-b38e-4fdf79dc9d4e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"tiba tiba saldo kepotong untuk top up game, oke gapapa, tapi item yang di beli ga muncul?, duh gmn si.., saya berusaha buat report tapi selalu kesalahan teknis di bagian saya mau memberikan foto bukti transaksi, tolong diperbaiki. Terimakasih.",1,10,1.45.0,2025-04-12 05:30:24,"Hai Kak Achel, mohon maat atas ketidaknyamanannya. Jika kamu masih mengalami kendala, silakan laporkan melalui email ke customerservice@gopay.co.id dengan melampirkan kode psr-25-102-0547-40365 pada subject email dan cantumkan nomor laporan kamu sebelumnya pada email yang kamu kirimkan. Kami tunggu detail laporan kamu ya. ^Melisa",2025-04-12 05:47:49,1.45.0,negatif,saldo kepotong top up game oke gapapa hitam beli ga muncul aduh gmn si berusaha report kesalahan teknis foto bukti transaksi tolong diperbaiki terimakasih
2a71295a-bc62-473f-ba92-8c83209896ec,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"knp gak bisa masuk pin 6 digit hanya karena beda hp, sedangkan hp saya yg lama sudah terjual, seharusnya ada setelah reset pin, tapi nomor tetap sama kok cuma beda hp kok gak bisa, terus gimana kelanjutannya ini, saya lapor di email jawabnya : gak bisa ganti hp, terus saldonya hilang dong !! tolong di perbaiki agar lebih mudah....?",2,2,1.45.0,2025-04-12 15:29:48,"Hai Kak Adhim, mohon maaf atas ketidaknyamanannya. Jika kamu masih mengalami kendala, silakan laporkan melalui email ke customerservice@gopay.co.id dengan melampirkan kode psr-25-102-1550-26901 pada subject email dan cantumkan nomor laporan kamu sebelumnya pada email yang kamu kirimkan. Kami tunggu detail laporan kamu ya. ^Maura",2025-04-12 15:51:12,1.45.0,negatif,kenapa gak masuk pin digit beda hp hp yang terjual reset pin nomor beda hp gak bagaimana kelanjutannya lapor email gak ganti hp saldonya hilang tolong perbaiki mudah
5e295fec-8e3b-4084-bceb-9289f0c6e2b9,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"kecewa, udah top up gak masuk masuk, nunggu 2 hari,kalo ada info keterlambatan karena ada idul Fitri itu TARO DI HALAMAN DEPAN biar costumer tau, bukannya di halaman bantuan, walaupun nominal dikit tapi kalo perlu itu berharga, mau cancel aja sulit, mempersulit bener 👎👎",1,737,1.44.0,2025-03-31 08:40:12,"Hai Kak Charis, pastikan nomor tujuan sudah benar, sudah cek halaman Riwayat, dan coba keluar dan masuk kembali ke aplikasi. Jika saldo masih belum masuk, silakan laporkan melalui menu Bantuan > ketik 'Top up GoPay saya belum masuk' > isi formulir dan cantumkan kode psr-25-090-0925-07442 pada bagian 'Ceritakan lebih lanjut'. ^Melisa",2025-03-31 09:25:18,1.44.0,negatif,kecewa sudah top up gak masuk masuk nunggu harikalo informasi keterlambatan idul fitri taro halaman biar costumer tahu halaman bantuan nominal dikit kalau berharga cancel saja sulit mempersulit benar
b46793aa-1798-4682-89ef-ff2247d4f8cc,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gopay mengecewakan..saya driver Gojek yang tiap hari dari pagi atau siang sampai malam mengumpulkan hasil pendapatan dari orderan ke gopay tapi saat ingin withdraw di jam 11 malam sudah tidak bisa dengan alasan ada perbaikan sistem pada banknya padahal sistem bank tidak apa=apa kecuali jika sudah jam 12 malam keatas tidak bisa withdraw itu saya maklumi karena sudah berubah tanggal dan harinya dan mungkin sedang merestart sistemnya,1,0,1.41.0,2025-04-11 18:42:26,"Hai Kak Saiful, sebelum transfer, pastikan status upgrade GoPay Plus sudah 'Diterima', nomor penerima valid dan tidak terblokir. Jika masih bermasalah, silakan kunjungi menu Bantuan di aplikasi GoPay atau email ke customerservice@gopay.co.id dan cantumkan kode psr-25-101-1638-43810 pada subjek email. ^Maura",2025-04-11 16:38:49,1.41.0,negatif,gopay mengecewakansaya driver gojek pagi siang malam mengumpulkan hasil pendapatan orderan gopay withdraw jam malam alasan perbaikan sistem banknya sistem bank apaapa kecuali jam malam keatas withdraw maklumi berubah tanggal harinya merestart sistemnya
0cae73fc-8b80-485c-8185-71930ca9902e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"saya suka gopay karena murah dan saldo tetap aman, tetapi bikin kesel, karena proses transaksinya lama bgt terkadang di batalin apalagi kalau tiba-tiba perlu bgt. trus pelayanan tidak memuaskan karena setiap masalah yang saya keluhkan melalui chat dengan CS di aplikasi gopay tidak ditangani dengan cepat,malah di berikan pertanyaan diluar yang di tanyakan,lalu dibatasi chatnya dan akhirnya chatnya ditutup dan masalah tidak selesai plus saya tidak bisa diizinkan membahasnya lagi kecewa bgt+emosi😭",2,62,1.44.0,2025-04-07 12:28:24,"Mohon maaf, Kak Cipta. Agar bisa menggunakan GoPay, pastikan saldo cukup, masukkan PIN GoPay yang benar, dan gunakan aplikasi terbaru. Jika masih bermasalah, laporkan melalui menu Bantuan > ketik ""Saya tidak dapat menggunakan GoPay"" > isi formulir dan cantumkan kode psr-25-097-1546-50473 di bagian ceritakan lebih lanjut. ^Melisa",2025-04-07 15:47:08,1.44.0,negatif,suka gopay murah saldo aman bikin kesel proses transaksinya banget terkadang batalin tibatiba banget trus pelayanan memuaskan keluhkan chat cs aplikasi gopay ditangani cepatmalah diluar tanyakanlalu dibatasi chatnya chatnya ditutup selesai plus diizinkan membahasnya kecewa bgtemosi
3e65a296-0366-473b-98d7-c9c626ffee1d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bener2 parah ini gopay sekarang buat kecewa udah mah waktu itu top up tgl 31 maret 2025 saldo ga masuk2 sampai sekarang dan sekarang malah klo mau transfer ribet pakai acara metode pembayaran segala..Bener2 ga jelas lebih baik gua pindah aplikasi aj,1,1,1.45.0,2025-04-12 13:04:59,"Hai Kak Ade, pastikan nomor tujuan sudah benar, sudah cek halaman Riwayat, dan coba keluar dan masuk kembali ke aplikasi. Jika saldo masih belum masuk, silakan laporkan melalui menu Bantuan > ketik 'Top up GoPay saya belum masuk' > isi formulir dan cantumkan kode psr-25-102-1416-59279 pada bagian 'Ceritakan lebih lanjut'. ^Maura",2025-04-12 14:17:05,1.45.0,negatif,benar parah gopay kecewa sudah mah top up tanggal maret saldo ga masuk kalau transfer ribet pakai acara metode pembayaran segalabener ga saya pindah aplikasi saja
7bb49aa1-d6b1-473d-9d38-19810d38a691,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasinya membingunkan. Semua fiturnya harus scrol kebawah. Padahal dipisah saja menunya per kategori. Seperti transfer | kirim uang | riwayat | dll. Sebagai contoh bisa melihat app d*na atau sh**pepay. Itu detail dan tertata rapi. menunya dipisah per kategori. Tidak membingungkan. Mungkin jika ada perubahan, penilaian akan saya ubah. Thx",2,309,1.40.1,2025-02-05 01:21:13,"Hai Kak Puji, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau keluhan terkait layanan GoPay, silakan kunjungi menu Bantuan di aplikasi GoPay kamu atau email ke customerservice@gopay.co.id. ^Miko",2025-02-05 03:01:18,1.40.1,negatif,aplikasinya membingunkan fiturnya scrol kebawah dipisah menunya kategori transfer kirim uang riwayat dan lain-lain contoh app dna shpepay detail tertata rapi menunya dipisah kategori membingungkan perubahan penilaian ubah terima kasih
84a35139-0bba-4cce-a34a-253809daf161,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Top up 2 juta udah mau seminggu saldo ga masuk. respon CS template banget jawabannya. Ga ada kejelasan itu saldo kapan mau di kembalikan. komplain di aplikasi malah ditutup ga bisa komen lagi. Aneh sekali kalian. Merugikan konsumen banget. !!,1,10,1.45.0,2025-04-10 00:50:43,"Hai Kak Yunita, mohon maaf atas ketidaknyamanannya. Terkait laporanmu sudah ada tiket dinomor 212787947 dan sedang ditangani oleh tim kami. Kamu dapat melakukan pengecekkan progress-nya di menu My Ticket aplikasi GoPay atau Gojek kamu ya. ^Maura",2025-04-12 10:12:26,1.45.0,negatif,top up juta sudah seminggu saldo ga masuk respon cs template banget jawabannya ga kejelasan saldo kembalikan komplain aplikasi ditutup ga komen aneh merugikan konsumen banget
e020c77d-cf9b-48b7-b4a7-4d309d496f04,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Mohon di perbaiki lagi perihal top up uang elektronik di jam 2 malam - jam 4 malam, suka kadang ga bisa/transaksi di batalkan, saran saya kalo emang gabisa top up di jam segitu mending di kasih informasi ""sistem sedang di perbaiki"" kayak top up e wallet, males soalnya nunggu 10 menit eh malah transaksi di batalkan. Segini dulu bintang kalo emang sudah di perbaiki nanti saya up lagi bintangnya",3,177,1.40.1,2025-02-06 19:27:43,"Hai Kak @Paceapse, mohon maaf atas ketidaknyamanannya. Kritik dan saran yang kamu berikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi GoPay kamu. ^Maura",2025-02-07 00:23:13,1.40.1,netral,mohon perbaiki perihal top up uang elektronik jam malam jam malam suka kadang ga bisatransaksi batalkan saran kalau emang gabisa top up jam segitu lebih baik kasih informasi sistem perbaiki kayak top up e wallet males nunggu menit eh transaksi batalkan segini bintang kalau emang perbaiki up bintangnya
cd06273f-2821-4e83-a670-af227d527ef5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Nyesel gua tagihan udah di bayar sebelum jatuh tempo eh status belum berubah². Kecewa udah beberapa hari gua lapor sana sini masih belum jelas juga, yang nelponin tiap hari terus terusan bikin aktivitas terganggu. Penanganan untuk masalah pembayaran dirasa sangat lambat dan kurangnya komunikasi antar tim teknis sama tim penagih. Intinya belum TERINTEGRASI dengan baik.",1,317,1.40.1,2025-01-31 01:21:48,"Hai Kak Cecep, mohon maaf atas ketidaknyamanannya. Jika masih mengalami keluhan, silakan laporkan melalui email ke support@mab.co.id dengan melampirkan kode psr-25-031-0329-24495 pada subject email dan cantumkan nomor laporan sebelumnya serta ceritakan kembali detail permasalahannya. Kami tunggu detail laporan kamu ya. ^Miko",2025-01-31 03:30:11,1.40.1,negatif,nyesel saya tagihan sudah bayar jatuh tempo eh status berubah² kecewa sudah saya lapor nelponin terusan bikin aktivitas terganggu penanganan pembayaran dirasa lambat kurangnya komunikasi tim teknis tim penagih intinya terintegrasi
0c5e20f4-6cda-4eab-af82-b803997e5900,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"aplikasi gak jelas , mau update ke gopay plus verivikasi nya gagal terus sudah bener posisi kamera nya , kamera jg gak buram dan gak jelek , kamera jernih tetapi selalu gagal teruss apk sudah eror tidak rekomendasi pakai ewallet inii verivikasi gagal terus sudah 17x lebih gagal sudah cape , serasa di kerjain sama aplikasi nyaa",1,16,1.45.0,2025-04-07 09:31:13,"Hai Kak @Batak, mohon maaf atas ketidaknyamanannya. Sebelum kamu mencoba upgrade ke GoPay Plus, pastikan dokumen serta foto selfie yang kamu kirim sudah sesuai dengan ketentuan GoPay. Jika masih tidak bisa, silakan laporkan detailnya melalui email ke customerservice@gopay.co.id dan lampirkan kode psr-25-097-1046-13740 di subject email ya. ^Melisa",2025-04-07 10:46:41,1.45.0,negatif,aplikasi gak update gopay plus verivikasi nya gagal benar posisi kamera nya kamera juga gak buram gak jelek kamera jernih gagal teruss apk eror rekomendasi pakai ewallet inii verivikasi gagal x gagal capek serasa kerjain aplikasi nyaa
3d635703-f0e0-4db4-a94c-ad9cebda6815,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,baru kejadian! saya top up pulsa axis tapi tidak masuk! sudah beberapa kali saya keluar masuk aplikasi axis dan gopay nya tapi masih tetap tidak bisa! dan pas saya buka help/laporkan masalah di gopay malah tutup rugi saya!!,1,15,1.45.0,2025-04-06 17:15:52,"Hai Kak Novita, mohon maaf atas ketidaknyamanannya. Jika masih mengalami keluhan, silakan laporkan melalui email ke customerservice@gopay.co.id dengan melampirkan kode psr-25-097-0524-49014 pada subject email dan cantumkan nomor laporan sebelumnya serta ceritakan kembali detail permasalahannya. Kami tunggu detail laporan kamu ya. ^Miko",2025-04-07 05:25:39,1.45.0,negatif,kejadian top up pulsa axis masuk kali masuk aplikasi axis gopay nya pas buka helplaporkan gopay tutup rugi
3a4ef6b7-508e-414d-b869-0019bebef441,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"bagaimana ini pihak gopay, uang saya nggak bisa ditransfer.. katanya disuruh update ke gopay plus suruh masukin KTP Tapi pas saya masukin nggak bisa, katanya KTP anda sudah pernah terdaftar .. emang saya pernah daftar dulu .. tp udah saya hapus akun ngikutin petunjuk aplikasinya hapus data .. jadi gimana ni gopay saya nggak bisa memakai uang saya ...!!",1,49,1.44.0,2025-03-28 06:42:07,"Hai Kak @時る, mohon maaf atas ketidaknyamanannya. Terkait laporanmu sudah ada tiket dinomor 211807144 dan sedang ditangani oleh tim kami. Kamu dapat melakukan pengecekkan progress-nya di menu My Ticket aplikasi GoPay atau Gojek kamu ya. ^Maura",2025-03-29 02:22:14,1.44.0,negatif,gopay uang tidak ditransfer disuruh update gopay plus suruh masukkan ktp pas masukkan tidak ktp terdaftar emang daftar tapi sudah hapus akun ngikutin petunjuk aplikasinya hapus data bagaimana ini gopay tidak memakai uang
